Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Themoodyvibe,simranbalarjain,9.2,796300,54900.0,487100.0,6.93,Bengaluru,Lifestyle and Fashion,Mega
Sandra Kadri,sandrakadri,8.49,793600,14500.0,38300.0,1.84,India,Lifestyle and Fashion,Mega
Vishakha Raghav,vishakharaghavofficial,8.35,784200,9300.0,47100.0,1.21,Delhi,Arts and Entertainment,Mega
Lopamudra Raut,lopamudraraut,8.08,778800,6300.0,16800.0,0.82,Mumbai,Lifestyle and Fashion,Mega
Isha Anand Sharma,ishaanandsharmaofficial,8.38,777400,9800.0,113000.0,1.27,Mumbai,Lifestyle and Fashion,Mega
Varun Verma,varunverrma,8.57,759400,18500.0,92600.0,2.45,New Delhi,Lifestyle and Fashion,Mega
Santoshi Shetty,santoshishetty,7.79,755900,3100.0,85100.0,0.42,Mumbai,Lifestyle and Fashion,Mega
Sobhita Dhulipala,sobhitad,9.05,750400,42600.0,80700.0,5.7,India,Arts and Entertainment,Mega
Archana Kochhar,archanakochharofficial,7.89,747200,4400.0,45500.0,0.58,Mumbai,Lifestyle and Fashion,Mega
Janvi Singh,janvi_223,8.17,741700,7300.0,24300.0,1.0,Mumbai,Lifestyle and Fashion,Mega
Santwinder Singh,santwinder_singh_waraich,8.2,741000,7700.0,21300.0,1.05,Chandigarh,Lifestyle and Fashion,Mega
Arsh,arshfam,9.02,732500,40800.0,107900.0,5.63,Chandigarh,Arts and Entertainment,Mega
Nibeditaa Paal,i_nibedita,7.87,728700,4100.0,11100.0,0.57,India,Arts and Entertainment,Mega
Himanshi,thatglamgirl__,8.69,720500,24700.0,167600.0,3.44,Kolkata,Lifestyle and Fashion,Mega
Neha,nehadogra,7.61,716300,1100.0,5500.0,0.16,India,Lifestyle and Fashion,Mega
Alankrita Sahai,ladykrita,9.13,707700,46500.0,84900.0,6.6,Delhi,Lifestyle and Fashion,Mega
