Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Iqbal Abdullah,iqqiabdullah,6.99,100000,612,2700,0.62,Mumbai,Sports,Celebrity
Dr. Dimple,dimplethefoodblogger,7.13,99900,700,153700,0.71,Delhi,Food and Drink,Micro
Jaffy Garg,Lifestyle,4.57,99700,0,7300,0.06,Panchkula,Lifestyle and Fashion,Micro
American Tourister India,amtouristerin,7.4,99700,878,16700,0.88,India,Travel,Micro
Shaheen Ali,spoonforkandfood,6.13,99600,235,2200,0.25,India,Food and Drink,Micro
Deena Pinto,skinnygirldiariez,7.66,99600,1700,20100,1.71,Bengaluru,Lifestyle and Fashion,Micro
Nupur Singh,thelazyinsomniac,7.92,99500,4600,0,4.72,Mumbai,Lifestyle and Fashion,Micro
Manmeet Kaur,beautifulfoodie,7.66,99400,1700,20300,1.76,Delhi,Food and Drink,Micro
Nisa Homey,nisahomey,7.48,99200,900,39700,0.94,Kerala,Food and Drink,Micro
Mitushi Ajmera,mitushi_ajmera,7.6,99100,842,3200,1.01,Haryana,Health and Fitness,Micro
Mansi Rajani,mansirajani85,8.33,99100,9200,103200,9.35,Noida,Family and Parenting,Micro
Delhifoodguide,delhifoodguide,6.91,99000,567,0,0.58,New Delhi,Food and Drink,Micro
Jagdish Chaturvedi,drjagdishchatur,7.67,98900,1800,8900,1.90,Bengaluru,Others,Micro
Chan Chandani Raat Mehrma �?,chan_chandani_raat_mehrma,2.0,98500,0,0,0.00,India,Technology,Micro
Yashas Narayan,yashasnarayan,7.79,98400,3100,10000,3.20,Mysore,Photography,Micro
Ishna Batra,Lifestyle,6.81,98200,421,1700,0.52,Mumbai,Family and Parenting,Micro
LeeMinHoLoversIndia,leeminho_lovers_india,7.01,97900,628,2100,0.65,India,Sports,Micro
Fitness,alphayash,8.4,97800,10300,50500,10.66,India,Health and Fitness,Micro
Alesia Raut,allylovesgym,6.1,97800,233,1200,0.25,Mumbai,Health and Fitness,Micro
Roaleey Ryan,roaleeyryan,7.58,97700,1000,16500,1.01,Mumbai,Lifestyle and Fashion,Micro
Photographers Of India,budding_photographers_of_india,6.47,97500,373,5200,0.39,India,Arts and Entertainment,Micro
Ankita Jaiswal,soulfulsafarnama,6.85,97300,527,7800,0.55,New Delhi,Travel,Micro
Harsh Baldev & Mihir Jariwala,feedmehyderabad,2.0,97200,0,0,0.00,Hyderabad,Food and Drink,Micro
Priyanka Tiwari,priyankaatiwari,7.72,97100,2300,24500,2.46,India,Food and Drink,Micro
Nishant Tomar,stylebyniks,7.82,97100,3500,14400,3.64,Faridabad,Lifestyle and Fashion,Micro
Gupshup,aditishukla93,7.65,97100,1600,41600,1.72,Sikar,Food and Drink,Micro
Hari Menon,harimenon4u,7.62,97000,1200,5000,1.30,Kochi,Travel,Micro
Mumbai Nightlife,mumbai.nightlife,6.39,96900,346,13800,0.36,Mumbai,Food and Drink,Micro
Nimarta Bindra,the_momster,7.65,96700,1400,51200,1.62,Mumbai,Lifestyle and Fashion,Micro
Shilpa Kamdar,momandtoddlers,7.63,96500,1400,21800,1.46,Mumbai,Family and Parenting,Micro
Travel,Travel,6.29,96500,308,3800,0.32,New Delhi,Travel,Micro
Praval Sharma,sharmajitechnical,5.56,96500,142,3200,0.15,India,Technology,Micro
Pakchikpak Raja Babu,haramiparindey,8.02,96400,5700,58000,5.96,Pune,Technology,Micro
Akshat Shrivastava,akshat.world,7.78,96400,3100,7300,3.25,India,Investment and Finance,Micro
Navin Kr. Vatsa,navinvatsa,7.93,96300,4600,2100,4.90,India,Arts and Entertainment,Micro
BetterButter,_betterbutter_,5.51,96300,133,2500,0.14,New Delhi,Food and Drink,Micro
Travel,Travel,4.4,96000,0,8800,0.05,Mumbai,Travel,Micro
Dil Se Bhukkad,dilsebhukkad,2.8,95500,0,0,0.01,Delhi,Food and Drink,Micro
Bhawna Pathak,bigtimefoodie,4.75,95500,66,565,0.08,Delhi,Food and Drink,Micro
Manali Jain,manali_jain,3.44,95400,0,21900,0.02,Mumbai,Lifestyle and Fashion,Micro
Lucky Lady,luckyladyblossom,6.94,95300,521,16400,0.62,Mumbai,Family and Parenting,Micro
BeingMomtastic | Afsha,beingmomtastic,7.24,95300,658,30400,0.82,Bengaluru,Family and Parenting,Micro
Bhaichung Bhutia,bhaichung15,7.84,95200,3700,11000,3.94,Sikkim,Sports,Micro
Kabyashree Deka,foodieforeverandever23,7.69,95200,2100,13100,2.23,Guwahati,Food and Drink,Micro
Foodies Of Bhubaneswar,foodies_of_bhubaneswar,7.67,95100,1800,14700,1.93,Bhubaneswar,Food and Drink,Micro
ATUL PATIDAR,imatulpatidar,2.0,95100,0,465,0.00,Indore,Lifestyle and Fashion,Micro
TechRadar,techradar,4.76,95100,72,1500,0.08,India,Technology,Micro
Travel,Travel,7.01,95000,565,4300,0.67,Haryana,Travel,Micro
Nidhi Chopra,innocent_hiccups,7.72,94800,2400,25600,2.58,Ludhiana,Family and Parenting,Micro
Sugandh,theurbanfight,8.12,94200,6900,18400,7.33,India,Arts and Entertainment,Micro
Sameer Bawa,spiceitupwithsam,2.4,93900,0,8200,0.01,Delhi,Food and Drink,Micro
