Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Priyanka Chopra Jonas,priyankachopra,9.51,79900000,1300000,3600000,1.61,India,Arts and Entertainment,Celebrity
Shraddha Kapoor,shraddhakapoor,9.46,73300000,1100000,1300000,1.48,India,Arts and Entertainment,Celebrity
Neha Kakkar,nehakakkar,9.34,70300000,609000,2000000,0.87,Mumbai,Arts and Entertainment,Celebrity
Deepika Padukone,deepikapadukone,9.45,67700000,1000000,893400,1.55,India,Arts and Entertainment,Celebrity
Alia Bhatt,aliaabhatt,9.99,66700000,3200000,4800000,4.77,India,Arts and Entertainment,Celebrity
Katrina Kaif,katrinakaif,9.75,65400000,2200000,4700000,3.41,India,Arts and Entertainment,Celebrity
Akshay Kumar,akshaykumar,9.48,62600000,1200000,2000000,1.85,India,Arts and Entertainment,Celebrity
Jacqueline Fernandez,jacquelinef143,9.31,61900000,502200,752900,0.82,India,Arts and Entertainment,Celebrity
Anushka Sharma,anushkasharma,9.57,59200000,1500000,2800000,2.57,Delhi,Arts and Entertainment,Celebrity
Sunny Leone,sunnyleone,9.22,53100000,153200,711100,0.29,India,Arts and Entertainment,Celebrity
Salman Khan,beingsalmankhan,9.3,52800000,476200,2600000,0.91,India,Arts and Entertainment,Celebrity
Urvashi Rautela,urvashirautela,9.23,52800000,175500,542500,0.34,India,Arts and Entertainment,Celebrity
Disha Patani,dishapatani,9.47,51800000,1100000,1500000,2.22,India,Arts and Entertainment,Celebrity
Kriti Sanon,kritisanon,9.41,49500000,897300,1100000,1.82,India,Arts and Entertainment,Celebrity
Hrithik Roshan,hrithikroshan,9.61,43300000,1700000,1600000,3.91,Mumbai,Arts and Entertainment,Celebrity
Jannat Zubair Rahmani,jannatzubair29,9.4,43100000,840000,1500000,1.96,India,Arts and Entertainment,Celebrity
Kapil Sharma,kapilsharma,9.31,41800000,485600,2000000,1.17,India,Arts and Entertainment,Celebrity
Nora Fatehi,norafatehi,9.47,40900000,1100000,2500000,2.74,India,Arts and Entertainment,Celebrity
Sara Ali Khan,saraalikhan95,9.39,40600000,816900,1700000,2.02,India,Arts and Entertainment,Celebrity
Ranveer Singh,ranveersingh,9.25,40000000,257000,1300000,0.64,India,Arts and Entertainment,Celebrity
Anushka Sen,anushkasen0408,9.35,37800000,659100,1200000,1.76,India,Arts and Entertainment,Celebrity
Parineeti Chopra,parineetichopra,9.26,36800000,303200,900000,0.83,Mumbai,Arts and Entertainment,Celebrity
Tiger Shroff,tigerjackieshroff,9.33,35300000,581700,1100000,1.65,India,Arts and Entertainment,Celebrity
Shahid Kapoor,shahidkapoor,9.36,35300000,709900,900000,2.02,India,Arts and Entertainment,Celebrity
Sonam Kapoor,sonamkapoor,9.24,32900000,211800,615300,0.65,Mumbai,Arts and Entertainment,Celebrity
Guru Randhawa,gururandhawa,9.24,32799999,224600,761300,0.69,India,Arts and Entertainment,Celebrity
Avneet Kaur Official,avneetkaur_13,9.29,32100000,420700,1100000,1.32,India,Arts and Entertainment,Celebrity
Rashmika Mandanna,rashmika_mandanna,9.79,32100000,2400000,3700000,7.40,Bengaluru,Arts and Entertainment,Celebrity
Amitabh Bachchan,amitabhbachchan,9.24,30700000,232300,679300,0.76,India,Arts and Entertainment,Celebrity
Shah Rukh Khan,iamsrk,9.7,30000000,2000000,3400000,6.77,Mumbai,Arts and Entertainment,Celebrity
FAISAL SHAIKH,mr_faisu_07,9.29,27800000,399700,854300,1.46,India,Arts and Entertainment,Celebrity
Riyaz Aly,riyaz.14,9.29,27200000,424600,4600000,1.60,Mumbai,Arts and Entertainment,Celebrity
SHILPA SHETTY KUNDRA,theshilpashetty,9.22,25900000,144200,1300000,0.56,India,Arts and Entertainment,Celebrity
Kartik Aaryan,kartikaaryan,9.32,25300000,554700,1500000,2.20,India,Arts and Entertainment,Celebrity
Shreya Ghoshal,shreyaghoshal,9.24,24300000,243600,546700,1.01,Mumbai,Arts and Entertainment,Celebrity
Nidhhi Agerwal,nidhhiagerwal,9.31,24200000,519500,422400,2.15,India,Arts and Entertainment,Celebrity
Samantha Ruth Prabhu,samantharuthprabhuoffl,9.56,24100000,1500000,2100000,6.16,Hyderabad,Arts and Entertainment,Celebrity
Kiara Advani,kiaraaliaadvani,9.38,24000000,778100,1200000,3.25,India,Arts and Entertainment,Celebrity
Mouni Roy,imouniroy,9.24,23700000,238200,492000,1.01,India,Arts and Entertainment,Celebrity
Kajal Aggarwal,kajalaggarwalofficial,9.47,23100000,1100000,670500,4.95,Hyderabad,Arts and Entertainment,Celebrity
Ananya Panday,ananyapanday,9.33,22900000,579800,412000,2.54,India,Arts and Entertainment,Celebrity
Sonakshi Sinha,aslisona,9.21,22900000,109500,334200,0.48,India,Arts and Entertainment,Celebrity
Rakul Preet,rakulpreet,9.26,22000000,321600,417700,1.47,India,Arts and Entertainment,Celebrity
Awez Darbar,awez_darbar,9.4,21300000,836900,1600000,3.93,Mumbai,Arts and Entertainment,Celebrity
Pooja Hegde,hegdepooja,9.42,20600000,900000,1400000,4.61,India,Arts and Entertainment,Celebrity
Shruti Haasan,shrutzhaasan,9.21,20200000,117900,175300,0.59,India,Arts and Entertainment,Celebrity
Divyanka T Dahiya,divyankatripathidahiya,9.22,20200000,163600,1000000,0.81,India,Arts and Entertainment,Celebrity
Taapsee Pannu,taapsee,9.21,19700000,103500,150000,0.53,Delhi,Arts and Entertainment,Celebrity
Allu Arjun,alluarjunonline,9.59,18500000,1600000,3700000,8.65,India,Arts and Entertainment,Celebrity
Tamannaah Bhatia,tamannaahspeaks,9.3,17200000,452600,585200,2.65,India,Arts and Entertainment,Celebrity
Hina Khan,realhinakhan,9.26,17100000,303200,897900,1.78,India,Arts and Entertainment,Celebrity
Ayushmann Khurrana,ayushmannk,9.22,16200000,148400,224700,0.92,Chandigarh,Arts and Entertainment,Celebrity
Shakti Mohan,mohanshakti,9.24,16100000,241500,607500,1.51,India,Arts and Entertainment,Celebrity
Yami Gautam,yamigautam,9.25,15900000,261500,127800,1.65,India,Arts and Entertainment,Celebrity
Fgdfg,carryminati,9.56,15900000,1500000,2500000,9.48,Bengaluru,Arts and Entertainment,Celebrity
Vijay Deverakonda,thedeverakonda,9.63,15800000,1800000,2800000,11.12,India,Arts and Entertainment,Celebrity
Filmygyan,filmygyan,9.21,15700000,118400,216700,0.76,India,Arts and Entertainment,Celebrity
Darshan Raval,darshanravaldz,9.33,15400000,562000,783300,3.70,India,Arts and Entertainment,Celebrity
Ileana D'Cruz,ileana_official,7.13,14800000,0,405700,0.00,India,Arts and Entertainment,Celebrity
Riteish Deshmukh,riteishd,9.21,14700000,100300,276900,0.69,India,Arts and Entertainment,Celebrity
Bhuvan Bam,bhuvan.bam22,9.43,14600000,1000000,1600000,6.65,India,Arts and Entertainment,Celebrity
Neha Sharma,nehasharmaofficial,9.24,14600000,223100,269400,1.54,India,Arts and Entertainment,Celebrity
Ashish Chanchlani,ashishchanchlani,9.47,14600000,1100000,1800000,7.83,India,Arts and Entertainment,Celebrity
Garima Chaurasia ??,gima_ashi,9.25,14500000,282600,651200,1.96,India,Arts and Entertainment,Celebrity
Sonu Sood,sonu_sood,9.28,14400000,367000,502000,2.57,India,Arts and Entertainment,Celebrity
Vicky Kaushal,vickykaushal09,9.46,14100000,1100000,1200000,7.67,India,Arts and Entertainment,Celebrity
Diljit Dosanjh,diljitdosanjh,9.25,13500000,263600,784900,1.96,India,Arts and Entertainment,Celebrity
Arjun Kapoor,arjunkapoor,9.2,13400000,76500,162000,0.57,India,Arts and Entertainment,Celebrity
Keerthy Suresh,keerthysureshofficial,9.33,13300000,585700,687200,4.43,India,Arts and Entertainment,Celebrity
Jennifer Winget,jenniferwinget1,9.25,13000000,268900,830700,2.08,India,Arts and Entertainment,Celebrity
ARMAAN MALIK,armaanmalik,9.23,12700000,164800,327000,1.33,India,Arts and Entertainment,Celebrity
Remo D'souza,remodsouza,9.21,12600000,113700,392800,0.91,India,Arts and Entertainment,Celebrity
Kajol,kajol,9.23,12600000,190700,503300,1.53,India,Arts and Entertainment,Celebrity
Anupama Parameswaran,anupamaparameswaran96,9.39,12200000,822400,900000,6.77,India,Arts and Entertainment,Celebrity
BADSHAH,badboyshah,9.21,12100000,118800,345600,0.99,India,Arts and Entertainment,Celebrity
Zareen Khan,zareenkhan,9.17,11900000,48300,99400,0.41,Mumbai,Arts and Entertainment,Celebrity
Bollywood,instantbollywood,9.13,11700000,46600,111400,0.40,India,Arts and Entertainment,Celebrity
Shehnaaz Gill,shehnaazgill,9.45,11600000,1000000,2100000,9.00,India,Arts and Entertainment,Celebrity
Amy Jackson,iamamyjackson,9.2,11500000,70700,309000,0.62,Mumbai,Arts and Entertainment,Celebrity
Adnaan Shaikh,adnaan_07dz,9.2,11200000,81900,254100,0.76,India,Arts and Entertainment,Celebrity
Bipasha Basu,bipashabasu,8.9,10900000,35000,120700,0.32,India,Arts and Entertainment,Celebrity
Yash,thenameisyash,9.49,10800000,1200000,2500000,11.17,India,Arts and Entertainment,Celebrity
Raghav Juyal,raghavjuyal,9.24,10800000,233300,673900,2.16,India,Arts and Entertainment,Celebrity
Sahil Khan,sahilkhan,9.23,10800000,171100,431700,1.59,India,Health and Fitness,Celebrity
Kanika Kapoor,kanik4kapoor,9.25,10600000,258600,900000,2.46,Mumbai,Arts and Entertainment,Celebrity
Dulquer Salmaan,dqsalmaan,9.32,10600000,554300,743100,5.26,India,Arts and Entertainment,Celebrity
Siddharth Nigam,thesiddharthnigam,9.22,10600000,129400,484300,1.24,India,Arts and Entertainment,Celebrity
SAMEEKSHA SUD,sameeksha.sud_,9.21,10600000,103300,296300,0.99,India,Arts and Entertainment,Celebrity
John Abraham,thejohnabraham,9.2,10500000,74000,160900,0.71,India,Arts and Entertainment,Celebrity
Himanshi Khurana,iamhimanshikhurana,9.21,10500000,91800,404000,0.89,Chandigarh,Arts and Entertainment,Celebrity
Vishal Pandey,vishalpandey_21,7.6,10300000,0,92700,0.01,India,Arts and Entertainment,Celebrity
Genelia Deshmukh,geneliad,9.26,10100000,318400,1000000,3.15,India,Arts and Entertainment,Celebrity
Kangana Ranaut,kanganaranaut,9.22,9700000,157700,670000,1.64,Mumbai,Arts and Entertainment,Celebrity
Abhishek Bachchan,bachchan,9.2,9400000,54200,179200,0.58,India,Arts and Entertainment,Celebrity
Beauty Khan,cuty_beauty_khan,9.2,9400000,73400,520700,0.79,India,Arts and Entertainment,Celebrity
Kareena Kapoor Khan,kareenakapoorkhan,9.28,9300000,387600,1000000,4.18,India,Arts and Entertainment,Celebrity
Ashnoor Kaur,ashnoorkaur,9.22,9200000,147800,396100,1.62,India,Arts and Entertainment,Celebrity
Preity Zinta,realpz,9.21,9100000,107900,321000,1.19,Mumbai,Arts and Entertainment,Celebrity
Yo Yo Honey Singh,yyhsofficial,2.0,9000000,269300,744100,2.99,India,Arts and Entertainment,Celebrity
Jubin Nautiyal,jubin_nautiyal,9.22,9000000,135800,669800,1.52,India,Arts and Entertainment,Celebrity
Surbhi Jyoti,surbhijyoti,9.24,9000000,235000,299100,2.65,India,Arts and Entertainment,Celebrity
Piyanka Mongia,piyanka_mongia,9.26,8800000,309600,273200,3.56,Delhi,Arts and Entertainment,Celebrity
Ajay Devgn,ajaydevgn,9.2,8600000,69100,164200,0.81,Mumbai,Arts and Entertainment,Celebrity
Mahesh Babu,urstrulymahesh,9.31,8600000,484800,900000,5.64,India,Arts and Entertainment,Celebrity
Prabhas,actorprabhas,9.33,8600000,584200,1700000,6.83,India,Arts and Entertainment,Celebrity
Esha Gupta,egupta,9.27,8600000,342200,1000000,4.00,Mumbai,Arts and Entertainment,Celebrity
Raashi Khanna,raashiikhanna,9.26,8400000,315400,474100,3.76,India,Arts and Entertainment,Celebrity
Amit Bhadana,theamitbhadana,9.26,8400000,283900,548000,3.48,India,Arts and Entertainment,Celebrity
Aditi Rao Hydari,aditiraohydari,9.21,8199999,103500,143500,1.26,India,Arts and Entertainment,Celebrity
Allu Sneha Reddy,allusnehareddy,9.27,8199999,329100,2100000,4.02,Hyderabad,Arts and Entertainment,Celebrity
Rakhi Sawant,rakhisawant2511,8.49,8000000,14400,297300,0.18,India,Arts and Entertainment,Celebrity
Ram Charan,alwaysramcharan,9.44,7800000,1000000,1500000,12.73,India,Arts and Entertainment,Celebrity
Sonam Bajwa,sonambajwa,9.26,7800000,302600,343100,3.88,India,Arts and Entertainment,Celebrity
Kriti Kharbanda,kriti.kharbanda,9.24,7800000,222700,443400,2.88,India,Arts and Entertainment,Celebrity
Vijay Television,vijaytelevision,7.97,7700000,5200,112400,0.07,India,Arts and Entertainment,Celebrity
Mika Singh,mikasingh,8.51,7700000,15500,228300,0.20,India,Arts and Entertainment,Celebrity
GAUAHAR KHAN,gauaharkhan,9.21,7700000,127200,900000,1.65,Mumbai,Arts and Entertainment,Celebrity
Tara Sutaria,tarasutaria,9.29,7700000,417200,548100,5.46,India,Arts and Entertainment,Celebrity
Nia Sharma,niasharma90,9.21,7600000,107300,355300,1.44,India,Arts and Entertainment,Celebrity
Krystle D'souza,krystledsouza,6.12,7500000,0,145500,0.00,India,Arts and Entertainment,Celebrity
Sargun Mehta,sargunmehta,9.23,7400000,169400,584700,2.30,India,Arts and Entertainment,Celebrity
Shirley Setia,shirleysetia,9.23,7400000,185200,328700,2.50,India,Arts and Entertainment,Celebrity
Munmun Dutta,mmoonstar,9.25,7400000,271600,298700,3.70,Mumbai,Arts and Entertainment,Celebrity
Arjun Bijlani,arjunbijlani,9.2,7400000,69800,187700,0.96,India,Arts and Entertainment,Celebrity
Karishma Kapoor,therealkarismakapoor,9.22,7300000,140400,535800,1.95,India,Arts and Entertainment,Celebrity
Priya  Varrier,priya.p.varrier,9.21,7200000,109100,560100,1.52,Mumbai,Arts and Entertainment,Celebrity
Nargis Fakhri,nargisfakhri,9.03,7200000,41200,226300,0.58,Mumbai,Arts and Entertainment,Celebrity
Anita Hassanandani,anitahassanandani,9.21,7100000,117500,157000,1.65,Mumbai,Arts and Entertainment,Celebrity
Kanika Mann,officialkanikamann,9.22,7100000,133200,270000,1.89,India,Arts and Entertainment,Celebrity
Bhumi Pednekar,bhumipednekar,9.2,7100000,54800,88400,0.78,Mumbai,Arts and Entertainment,Celebrity
Karishma Tanna,karishmaktanna,9.2,7100000,70300,98100,1.00,India,Arts and Entertainment,Celebrity
Raveena Tandon,officialraveenatandon,9.06,7000000,42700,82100,0.61,Mumbai,Arts and Entertainment,Celebrity
Shivangi Joshi,shivangijoshi18,9.32,7000000,526400,860600,7.71,India,Arts and Entertainment,Celebrity
Sakshi Malik,sakshimalikk,9.23,6900000,184800,277400,2.68,India,Arts and Entertainment,Celebrity
Tovino Thomas,tovinothomas,9.24,6800000,232900,559000,3.43,India,Arts and Entertainment,Celebrity
Rajkummar  Rao,rajkummar_rao,9.21,6800000,119000,161500,1.77,India,Arts and Entertainment,Celebrity
Vidyut Jammwal,mevidyutjammwal,9.24,6700000,215300,216700,3.21,India,Arts and Entertainment,Celebrity
A.R.Rahman,arrahman,9.21,6700000,125200,306900,1.86,Chennai,Arts and Entertainment,Celebrity
Twinkle Khanna,twinklerkhanna,9.03,6700000,41400,219100,0.62,India,Arts and Entertainment,Celebrity
Sunanda Sharma,sunanda_ss,9.2,6700000,56200,204400,0.85,India,Arts and Entertainment,Celebrity
Riva Arora,rivarora_,9.22,6600000,129199,175600,1.97,India,Arts and Entertainment,Celebrity
Bharti Singh,bharti.laughterqueen,9.23,6600000,200800,1000000,3.05,Mumbai,Arts and Entertainment,Celebrity
Krutika,themermaidscales,9.28,6600000,397100,3500000,6.04,India,Arts and Entertainment,Celebrity
Adah Sharma,adah_ki_adah,9.22,6500000,139400,74700,2.15,India,Arts and Entertainment,Celebrity
Divya Khosla Kumar,divyakhoslakumar,9.23,6500000,171400,183300,2.65,Mumbai,Arts and Entertainment,Celebrity
Filmfare,filmfare,7.95,6500000,4900,70200,0.08,India,Arts and Entertainment,Celebrity
Nupur Sanon,nupursanon,9.23,6400000,200800,251800,3.14,India,Arts and Entertainment,Celebrity
Sushmita Sen,sushmitasen47,9.21,6400000,90500,395800,1.43,India,Arts and Entertainment,Celebrity
Lucky Dancer,luckydancer786,2.0,6300000,164500,900000,2.83,Mumbai,Arts and Entertainment,Celebrity
Sanjay Dutt,duttsanjay,9.26,6200000,293700,329600,4.78,India,Arts and Entertainment,Celebrity
MANKIRT AULAKH,mankirtaulakh,9.23,6100000,183200,435700,3.03,India,Arts and Entertainment,Celebrity
Nivetha Thomas,i_nivethathomas,9.28,6100000,398000,716600,6.55,India,Arts and Entertainment,Celebrity
Robin Jindal,oye_indori,9.22,6000000,154700,1200000,2.58,India,Arts and Entertainment,Celebrity
Tejasswi Prakash,tejasswiprakash,9.32,6000000,512299,1400000,8.88,India,Arts and Entertainment,Celebrity
Aditi Bhatia,aditi_bhatia4,9.24,5900000,229500,287000,3.89,India,Arts and Entertainment,Celebrity
Anirudh Ravichander,anirudhofficial,9.28,5900000,392400,667500,6.67,India,Arts and Entertainment,Celebrity
Neha Dhupia,nehadhupia,8.47,5900000,13600,32100,0.23,Mumbai,Arts and Entertainment,Celebrity
Anveshi Jain,anveshi25,9.21,5800000,119900,214600,2.08,India,Arts and Entertainment,Celebrity
Jumana Khan,jumana_khan_,9.2,5800000,50500,56500,0.88,Kerala,Arts and Entertainment,Celebrity
Asim Riaz,asimriaz77.official,9.24,5800000,216200,1000000,3.81,India,Arts and Entertainment,Celebrity
Aashika Bhatia,_aashikabhatia_,8.94,5800000,36800,1000000,0.64,India,Arts and Entertainment,Celebrity
Arijit Singh World,arijitsingh,9.23,5700000,191400,774600,3.37,India,Arts and Entertainment,Celebrity
Vaani Kapoor,_vaanikapoor_,9.21,5700000,102000,94600,1.80,India,Arts and Entertainment,Celebrity
Rashami Desai,imrashamidesai,9.21,5600000,101800,271700,1.92,India,Arts and Entertainment,Celebrity
Harsh Beniwal,harshbeniwal,9.33,5500000,593100,1100000,10.78,India,Arts and Entertainment,Celebrity
Huma Qureshi,iamhumaq,9.04,5400000,41800,115200,0.78,India,Arts and Entertainment,Celebrity
Tulsi Kumar,tulsikumar15,9.21,5400000,108800,245900,2.02,Mumbai,Arts and Entertainment,Celebrity
Hansika Motwani,ihansika,9.22,5400000,151400,168500,2.82,India,Arts and Entertainment,Celebrity
Shraddha Arya,sarya12,9.25,5400000,264300,1000000,4.96,India,Arts and Entertainment,Celebrity
SAMEER MARK 69,sameer_mark,8.66,5400000,22900,277700,0.44,Mumbai,Arts and Entertainment,Celebrity
Pranitha Subhash,pranitha.insta,9.23,5400000,172400,178000,3.23,India,Arts and Entertainment,Celebrity
Vijay Sethupathi,actorvijaysethupathi,9.24,5300000,215100,712000,4.05,India,Arts and Entertainment,Celebrity
Anupam Kher,anupampkher,8.51,5300000,15500,209100,0.30,India,Arts and Entertainment,Celebrity
RAAI LAXMI,iamraailaxmi,9.2,5300000,66100,34200,1.26,India,Arts and Entertainment,Celebrity
Surbhi Chandna,officialsurbhic,9.21,5200000,126500,447400,2.45,India,Arts and Entertainment,Celebrity
Voompla,voompla,8.3,5200000,8900,31500,0.17,India,Arts and Entertainment,Celebrity
Hiphop Tamizha,hiphoptamizha,6.38,5200000,0,371100,0.01,India,Others,Celebrity
Pinkvilla,pinkvilla,8.59,5100000,19800,36100,0.39,India,Arts and Entertainment,Celebrity
Elli AvrRam,elliavrram,9.21,5100000,104900,123500,2.05,India,Arts and Entertainment,Celebrity
Dhanashree Verma,dhanashree9,9.29,5100000,408500,371000,7.96,Mumbai,Arts and Entertainment,Celebrity
Nani,nameisnani,9.3,5100000,479100,900000,9.35,India,Arts and Entertainment,Celebrity
Mona Lisa,aslimonalisa,9.2,5100000,51500,82500,1.01,India,Arts and Entertainment,Celebrity
Millind Gaba,millindgaba,9.22,5100000,140300,180400,2.77,India,Arts and Entertainment,Celebrity
Dia Mirza,diamirzaofficial,8.79,5100000,29600,38300,0.59,Mumbai,Arts and Entertainment,Celebrity
Sunil Grover,whosunilgrover,9.21,5100000,89300,655400,1.78,India,Arts and Entertainment,Celebrity
SivaKarthikeyan,sivakarthikeyan,9.36,5000000,704000,1000000,14.14,Chennai,Arts and Entertainment,Celebrity
Sana Khaan,sanakhaan21,9.29,5000000,405300,879000,8.17,India,Arts and Entertainment,Celebrity
Bhavin Bhanushali,bhavin_333,7.62,4900000,0,211400,0.03,India,Arts and Entertainment,Mega
Amulya,amulyarattan_,9.24,4900000,241200,523500,4.98,India,Arts and Entertainment,Mega
Shaheer Sheikh,shaheernsheikh,9.21,4800000,120800,367700,2.52,India,Arts and Entertainment,Mega
Reem,reem_sameer8,9.2,4800000,83300,191600,1.75,India,Arts and Entertainment,Mega
Anil Kapoor,anilskapoor,9.05,4800000,42500,85400,0.89,India,Arts and Entertainment,Mega
Prince Narula,princenarula,9.21,4800000,105200,249100,2.20,India,Arts and Entertainment,Mega
Darmesh,dharmesh0011,9.2,4800000,76700,352600,1.61,India,Arts and Entertainment,Mega
Nawazuddin Siddiqui,nawazuddin._siddiqui,9.24,4800000,223900,482600,4.69,India,Arts and Entertainment,Mega
Suriya Sivakumar,actorsuriya,9.36,4800000,685500,1700000,14.48,Chennai,Arts and Entertainment,Mega
Rana Daggubati,ranadaggubati,9.17,4800000,48900,133900,1.02,India,Arts and Entertainment,Mega
Prithviraj Sukumaran,therealprithvi,9.22,4800000,159700,192900,3.36,India,Arts and Entertainment,Mega
Aly Goni,alygoni,9.25,4800000,255300,380200,5.43,India,Arts and Entertainment,Mega
Rits Badiani (Ritika),rits_badiani,9.21,4700000,120700,284400,2.60,India,Arts and Entertainment,Mega
Paras Chhabra,parasvchhabrra,9.25,4700000,257600,850200,5.55,India,Arts and Entertainment,Mega
Mohanlal,mohanlal,9.24,4700000,219800,676700,4.68,India,Arts and Entertainment,Mega
Ranjit Bawa,ranjitbawa,9.1,4700000,45000,130100,0.96,India,Arts and Entertainment,Mega
Tia Bajpai,tiabajpai,9.03,4700000,41800,0,0.89,India,Arts and Entertainment,Mega
Vidya Balan,balanvidya,8.88,4700000,34000,71800,0.73,India,Arts and Entertainment,Mega
Akshara Singh,singhakshara,9.2,4700000,54100,211300,1.17,India,Arts and Entertainment,Mega
Deepika Singh Goyal,deepikasingh150,9.2,4600000,60600,900000,1.31,India,Arts and Entertainment,Mega
Mrunal Thakur,mrunalthakur,9.22,4600000,147600,272900,3.19,India,Arts and Entertainment,Mega
Mahira Sharma,officialmahirasharma,9.26,4600000,307100,1400000,6.89,India,Arts and Entertainment,Mega
Nushrat Bharucha,nushrrattbharuccha,9.2,4600000,84600,190200,1.85,India,Arts and Entertainment,Mega
Gippy Grewal,gippygrewal,9.22,4600000,135700,328900,2.99,India,Arts and Entertainment,Mega
Sanjeeda Shaikh,iamsanjeeda,6.4,4500000,0,681800,0.01,India,Arts and Entertainment,Mega
Rannvijay Singha,rannvijaysingha,9.09,4500000,44600,43400,0.99,India,Arts and Entertainment,Mega
Zakir Khan,zakirkhan_208,9.26,4500000,289800,450300,6.46,India,Arts and Entertainment,Mega
Jr NTR,jrntr,9.31,4500000,480400,1500000,10.75,India,Arts and Entertainment,Mega
Amala Paul,amalapaul,9.22,4500000,136900,118600,3.07,India,Arts and Entertainment,Mega
Ekta Kapoor,ektarkapoor,8.71,4400000,25500,168300,0.58,Mumbai,Arts and Entertainment,Mega
Rashmi Gautam,rashmigautam,9.23,4400000,179500,338800,4.08,Hyderabad,Arts and Entertainment,Mega
Karan Kundrra,kkundrra,9.28,4400000,346200,1000000,8.58,Mumbai,Arts and Entertainment,Mega
Sidharth Shukla,realsidharthshukla,9.31,4400000,446000,682900,11.36,India,Arts and Entertainment,Mega
Ameesha Patel,ameeshapatel9,8.47,4400000,13400,42800,0.31,India,Arts and Entertainment,Mega
Dhanush,dhanushkraja,9.47,4300000,1100000,1200000,25.73,India,Arts and Entertainment,Mega
SONAL CHAUHAN,sonalchauhan,6.68,4300000,0,114100,0.01,India,Arts and Entertainment,Mega
Dheeraj Dhoopar,dheerajdhoopar,9.22,4300000,165600,346000,3.90,India,Arts and Entertainment,Mega
Gauri Khan,gaurikhan,9.2,4300000,70600,370200,1.67,India,Arts and Entertainment,Mega
Diana Penty,dianapenty,9.21,4200000,104300,92600,2.47,Mumbai,Arts and Entertainment,Mega
Ajaz Khan,imajazkhan,8.52,4200000,16200,104500,0.39,India,Arts and Entertainment,Mega
SANGRAM U SINGH,sangramsingh_wrestler,9.21,4200000,101600,322900,2.41,India,Arts and Entertainment,Mega
Alya Manasa,alya_manasa,9.0,4200000,40000,421800,0.95,Chennai,Arts and Entertainment,Mega
Samiksha Bhatnagar,samikshabhatna1,9.21,4200000,90700,328300,2.22,India,Arts and Entertainment,Mega
Erica J Fernandes,iam_ejf,9.21,4099999,118800,207900,2.88,India,Arts and Entertainment,Mega
Mohsin Khan,khan_mohsinkhan,9.23,4099999,178500,477700,4.44,India,Arts and Entertainment,Mega
EmiwayOfficial,emiway_bantai,9.23,4099999,172100,457100,4.30,India,Arts and Entertainment,Mega
Pankaj Tripathi,pankajtripathi,9.26,4099999,325100,325700,8.02,India,Arts and Entertainment,Mega
Daisy Shah,shahdaisy,8.78,4099999,28900,54200,0.72,India,Arts and Entertainment,Mega
Prachi Desai,prachidesai,9.22,4000000,160100,180100,4.00,India,Arts and Entertainment,Mega
Parth Samthaan,the_parthsamthaan,9.22,4000000,153900,337700,3.88,India,Arts and Entertainment,Mega
Paayal Rajput,rajputpaayal,9.2,4000000,63400,82600,1.60,India,Arts and Entertainment,Mega
KaurB,Music,9.17,4000000,48200,102700,1.23,India,Arts and Entertainment,Mega
Shamita Shetty,shamitashetty_official,9.2,3900000,50100,317700,1.39,India,Arts and Entertainment,Mega
Vaibhav Kundra,vaibhavkundra,9.19,3900000,49400,70500,1.28,Lucknow,Arts and Entertainment,Mega
Adaa Khan,adaakhann,9.2,3800000,76500,152500,2.04,India,Arts and Entertainment,Mega
Vishwa Rathod,wish_rathod,9.23,3800000,180000,542800,4.77,India,Arts and Entertainment,Mega
Deepthi Sunaina,deepthi_sunaina,9.27,3800000,335200,1200000,8.89,India,Lifestyle and Fashion,Mega
Sharry Mann,sharrymaan,9.2,3700000,66700,373600,1.80,Mohali,Arts and Entertainment,Mega
Rohan Mehra,rohanmehraa,6.03,3700000,0,240100,0.01,India,Arts and Entertainment,Mega
Poonam Pandey,ipoonampandey,2.0,3700000,0,0,0.00,Mumbai,Arts and Entertainment,Mega
Shweta Tiwari,shweta.tiwari,9.22,3700000,162000,271000,4.44,India,Arts and Entertainment,Mega
Emraan Hashmi,therealemraan,9.23,3700000,183600,210700,5.05,India,Arts and Entertainment,Mega
Radhika Apte,radhikaofficial,9.04,3700000,42300,88000,1.16,India,Arts and Entertainment,Mega
Farhan Akhtar,faroutakhtar,8.84,3600000,32200,125900,0.89,India,Arts and Entertainment,Mega
Nabha Natesh,nabhanatesh,9.23,3600000,173500,226700,4.80,Bengaluru,Arts and Entertainment,Mega
Nithya Menen,nithyamenen,9.21,3600000,111100,170200,3.09,India,Arts and Entertainment,Mega
RaftaaR,Music,9.22,3600000,132300,196700,3.70,India,Arts and Entertainment,Mega
Helly Shah,hellyshahofficial,9.21,3600000,114800,167000,3.24,India,Arts and Entertainment,Mega
Aamir Khan,_aamirkhan,9.25,3600000,267300,0,7.50,Mumbai,Arts and Entertainment,Mega
Radhika Madan,radhikamadan,9.24,3600000,244100,360800,6.89,India,Arts and Entertainment,Mega
Mithila Palkar,mipalkarofficial,9.23,3600000,173800,131800,4.90,India,Arts and Entertainment,Mega
??Nata�a Stankovi???,natasastankovic__,9.27,3500000,360900,797900,10.23,Mumbai,Arts and Entertainment,Mega
