Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Priyanka Chopra Jonas,priyankachopra,9.51,79.9m,1.3m,3.6m,1.61%,India,Arts and Entertainment
Shraddha Kapoor,shraddhakapoor,9.46,73.3m,1.1m,1.3m,1.48%,India,Arts and Entertainment
Neha Kakkar,nehakakkar,9.34,70.3m,609k,2m,0.87%,Mumbai,Arts and Entertainment
Deepika Padukone,deepikapadukone,9.45,67.7m,1m,893.4k,1.55%,India,Arts and Entertainment
Alia Bhatt,aliaabhatt,9.99,66.7m,3.2m,4.8m,4.77%,India,Arts and Entertainment
Katrina Kaif,katrinakaif,9.75,65.4m,2.2m,4.7m,3.41%,India,Arts and Entertainment
Akshay Kumar,akshaykumar,9.48,62.6m,1.2m,2m,1.85%,India,Arts and Entertainment
Jacqueline Fernandez,jacquelinef143,9.31,61.9m,502.2k,752.9k,0.82%,India,Arts and Entertainment
Anushka Sharma,anushkasharma,9.57,59.2m,1.5m,2.8m,2.57%,Delhi,Arts and Entertainment
Sunny Leone,sunnyleone,9.22,53.1m,153.2k,711.1k,0.29%,India,Arts and Entertainment
Salman Khan,beingsalmankhan,9.3,52.8m,476.2k,2.6m,0.91%,India,Arts and Entertainment
Urvashi Rautela,urvashirautela,9.23,52.8m,175.5k,542.5k,0.34%,India,Arts and Entertainment
Disha Patani,dishapatani,9.47,51.8m,1.1m,1.5m,2.22%,India,Arts and Entertainment
Kriti Sanon,kritisanon,9.41,49.5m,897.3k,1.1m,1.82%,India,Arts and Entertainment
Hrithik Roshan,hrithikroshan,9.61,43.3m,1.7m,1.6m,3.91%,Mumbai,Arts and Entertainment
Jannat Zubair Rahmani,jannatzubair29,9.4,43.1m,840k,1.5m,1.96%,India,Arts and Entertainment
Kapil Sharma,kapilsharma,9.31,41.8m,485.6k,2m,1.17%,India,Arts and Entertainment
Nora Fatehi,norafatehi,9.47,40.9m,1.1m,2.5m,2.74%,India,Arts and Entertainment
Sara Ali Khan,saraalikhan95,9.39,40.6m,816.9k,1.7m,2.02%,India,Arts and Entertainment
Ranveer Singh,ranveersingh,9.25,40m,257k,1.3m,0.64%,India,Arts and Entertainment
Anushka Sen,anushkasen0408,9.35,37.8m,659.1k,1.2m,1.76%,India,Arts and Entertainment
Parineeti Chopra,parineetichopra,9.26,36.8m,303.2k,0.9m,0.83%,Mumbai,Arts and Entertainment
Tiger Shroff,tigerjackieshroff,9.33,35.3m,581.7k,1.1m,1.65%,India,Arts and Entertainment
Shahid Kapoor,shahidkapoor,9.36,35.3m,709.9k,0.9m,2.02%,India,Arts and Entertainment
Sonam Kapoor,sonamkapoor,9.24,32.9m,211.8k,615.3k,0.65%,Mumbai,Arts and Entertainment
Guru Randhawa,gururandhawa,9.24,32.8m,224.6k,761.3k,0.69%,India,Arts and Entertainment
Avneet Kaur Official,avneetkaur_13,9.29,32.1m,420.7k,1.1m,1.32%,India,Arts and Entertainment
Rashmika Mandanna,rashmika_mandanna,9.79,32.1m,2.4m,3.7m,7.40%,Bengaluru,Arts and Entertainment
Amitabh Bachchan,amitabhbachchan,9.24,30.7m,232.3k,679.3k,0.76%,India,Arts and Entertainment
Shah Rukh Khan,iamsrk,9.7,30m,2m,3.4m,6.77%,Mumbai,Arts and Entertainment
FAISAL SHAIKH,mr_faisu_07,9.29,27.8m,399.7k,854.3k,1.46%,India,Arts and Entertainment
Riyaz Aly,riyaz.14,9.29,27.2m,424.6k,4.6m,1.60%,Mumbai,Arts and Entertainment
SHILPA SHETTY KUNDRA,theshilpashetty,9.22,25.9m,144.2k,1.3m,0.56%,India,Arts and Entertainment
Kartik Aaryan,kartikaaryan,9.32,25.3m,554.7k,1.5m,2.20%,India,Arts and Entertainment
Shreya Ghoshal,shreyaghoshal,9.24,24.3m,243.6k,546.7k,1.01%,Mumbai,Arts and Entertainment
Nidhhi Agerwal,nidhhiagerwal,9.31,24.2m,519.5k,422.4k,2.15%,India,Arts and Entertainment
Samantha Ruth Prabhu,samantharuthprabhuoffl,9.56,24.1m,1.5m,2.1m,6.16%,Hyderabad,Arts and Entertainment
Kiara Advani,kiaraaliaadvani,9.38,24m,778.1k,1.2m,3.25%,India,Arts and Entertainment
Mouni Roy,imouniroy,9.24,23.7m,238.2k,492k,1.01%,India,Arts and Entertainment
Kajal Aggarwal,kajalaggarwalofficial,9.47,23.1m,1.1m,670.5k,4.95%,Hyderabad,Arts and Entertainment
Ananya Panday,ananyapanday,9.33,22.9m,579.8k,412k,2.54%,India,Arts and Entertainment
Sonakshi Sinha,aslisona,9.21,22.9m,109.5k,334.2k,0.48%,India,Arts and Entertainment
Rakul Preet,rakulpreet,9.26,22m,321.6k,417.7k,1.47%,India,Arts and Entertainment
Awez Darbar,awez_darbar,9.4,21.3m,836.9k,1.6m,3.93%,Mumbai,Arts and Entertainment
Pooja Hegde,hegdepooja,9.42,20.6m,0.9m,1.4m,4.61%,India,Arts and Entertainment
Shruti Haasan,shrutzhaasan,9.21,20.2m,117.9k,175.3k,0.59%,India,Arts and Entertainment
Divyanka T Dahiya,divyankatripathidahiya,9.22,20.2m,163.6k,1m,0.81%,India,Arts and Entertainment
Taapsee Pannu,taapsee,9.21,19.7m,103.5k,150k,0.53%,Delhi,Arts and Entertainment
Allu Arjun,alluarjunonline,9.59,18.5m,1.6m,3.7m,8.65%,India,Arts and Entertainment
Tamannaah Bhatia,tamannaahspeaks,9.3,17.2m,452.6k,585.2k,2.65%,India,Arts and Entertainment
Hina Khan,realhinakhan,9.26,17.1m,303.2k,897.9k,1.78%,India,Arts and Entertainment
Ayushmann Khurrana,ayushmannk,9.22,16.2m,148.4k,224.7k,0.92%,Chandigarh,Arts and Entertainment
Shakti Mohan,mohanshakti,9.24,16.1m,241.5k,607.5k,1.51%,India,Arts and Entertainment
Yami Gautam,yamigautam,9.25,15.9m,261.5k,127.8k,1.65%,India,Arts and Entertainment
Fgdfg,carryminati,9.56,15.9m,1.5m,2.5m,9.48%,Bengaluru,Arts and Entertainment
Vijay Deverakonda,thedeverakonda,9.63,15.8m,1.8m,2.8m,11.12%,India,Arts and Entertainment
Filmygyan,filmygyan,9.21,15.7m,118.4k,216.7k,0.76%,India,Arts and Entertainment
Darshan Raval,darshanravaldz,9.33,15.4m,562k,783.3k,3.70%,India,Arts and Entertainment
Ileana D'Cruz,ileana_official,7.13,14.8m,0,405.7k,0.00%,India,Arts and Entertainment
Riteish Deshmukh,riteishd,9.21,14.7m,100.3k,276.9k,0.69%,India,Arts and Entertainment
Bhuvan Bam,bhuvan.bam22,9.43,14.6m,1m,1.6m,6.65%,India,Arts and Entertainment
Neha Sharma,nehasharmaofficial,9.24,14.6m,223.1k,269.4k,1.54%,India,Arts and Entertainment
Ashish Chanchlani,ashishchanchlani,9.47,14.6m,1.1m,1.8m,7.83%,India,Arts and Entertainment
Garima Chaurasia ??,gima_ashi,9.25,14.5m,282.6k,651.2k,1.96%,India,Arts and Entertainment
Sonu Sood,sonu_sood,9.28,14.4m,367k,502k,2.57%,India,Arts and Entertainment
Vicky Kaushal,vickykaushal09,9.46,14.1m,1.1m,1.2m,7.67%,India,Arts and Entertainment
Diljit Dosanjh,diljitdosanjh,9.25,13.5m,263.6k,784.9k,1.96%,India,Arts and Entertainment
Arjun Kapoor,arjunkapoor,9.2,13.4m,76.5k,162k,0.57%,India,Arts and Entertainment
Keerthy Suresh,keerthysureshofficial,9.33,13.3m,585.7k,687.2k,4.43%,India,Arts and Entertainment
Jennifer Winget,jenniferwinget1,9.25,13m,268.9k,830.7k,2.08%,India,Arts and Entertainment
ARMAAN MALIK,armaanmalik,9.23,12.7m,164.8k,327k,1.33%,India,Arts and Entertainment
Remo D'souza,remodsouza,9.21,12.6m,113.7k,392.8k,0.91%,India,Arts and Entertainment
Kajol,kajol,9.23,12.6m,190.7k,503.3k,1.53%,India,Arts and Entertainment
Anupama Parameswaran,anupamaparameswaran96,9.39,12.2m,822.4k,0.9m,6.77%,India,Arts and Entertainment
BADSHAH,badboyshah,9.21,12.1m,118.8k,345.6k,0.99%,India,Arts and Entertainment
Zareen Khan,zareenkhan,9.17,11.9m,48.3k,99.4k,0.41%,Mumbai,Arts and Entertainment
Bollywood,instantbollywood,9.13,11.7m,46.6k,111.4k,0.40%,India,Arts and Entertainment
Shehnaaz Gill,shehnaazgill,9.45,11.6m,1m,2.1m,9.00%,India,Arts and Entertainment
Amy Jackson,iamamyjackson,9.2,11.5m,70.7k,309k,0.62%,Mumbai,Arts and Entertainment
Adnaan Shaikh,adnaan_07dz,9.2,11.2m,81.9k,254.1k,0.76%,India,Arts and Entertainment
Bipasha Basu,bipashabasu,8.9,10.9m,35k,120.7k,0.32%,India,Arts and Entertainment
Yash,thenameisyash,9.49,10.8m,1.2m,2.5m,11.17%,India,Arts and Entertainment
Raghav Juyal,raghavjuyal,9.24,10.8m,233.3k,673.9k,2.16%,India,Arts and Entertainment
Sahil Khan,sahilkhan,9.23,10.8m,171.1k,431.7k,1.59%,India,Health and Fitness
Kanika Kapoor,kanik4kapoor,9.25,10.6m,258.6k,0.9m,2.46%,Mumbai,Arts and Entertainment
Dulquer Salmaan,dqsalmaan,9.32,10.6m,554.3k,743.1k,5.26%,India,Arts and Entertainment
Siddharth Nigam,thesiddharthnigam,9.22,10.6m,129.4k,484.3k,1.24%,India,Arts and Entertainment
SAMEEKSHA SUD,sameeksha.sud_,9.21,10.6m,103.3k,296.3k,0.99%,India,Arts and Entertainment
John Abraham,thejohnabraham,9.2,10.5m,74k,160.9k,0.71%,India,Arts and Entertainment
Himanshi Khurana,iamhimanshikhurana,9.21,10.5m,91.8k,404k,0.89%,Chandigarh,Arts and Entertainment
Vishal Pandey,vishalpandey_21,7.6,10.3m,0,92.7k,0.01%,India,Arts and Entertainment
Genelia Deshmukh,geneliad,9.26,10.1m,318.4k,1m,3.15%,India,Arts and Entertainment
Kangana Ranaut,kanganaranaut,9.22,9.7m,157.7k,670k,1.64%,Mumbai,Arts and Entertainment
Abhishek Bachchan,bachchan,9.2,9.4m,54.2k,179.2k,0.58%,India,Arts and Entertainment
Beauty Khan,cuty_beauty_khan,9.2,9.4m,73.4k,520.7k,0.79%,India,Arts and Entertainment
Kareena Kapoor Khan,kareenakapoorkhan,9.28,9.3m,387.6k,1m,4.18%,India,Arts and Entertainment
Ashnoor Kaur,ashnoorkaur,9.22,9.2m,147.8k,396.1k,1.62%,India,Arts and Entertainment
Preity Zinta,realpz,9.21,9.1m,107.9k,321k,1.19%,Mumbai,Arts and Entertainment
Yo Yo Honey Singh,yyhsofficial,2,9m,269.3k,744.1k,2.99%,India,Arts and Entertainment
Jubin Nautiyal,jubin_nautiyal,9.22,9m,135.8k,669.8k,1.52%,India,Arts and Entertainment
Surbhi Jyoti,surbhijyoti,9.24,9m,235k,299.1k,2.65%,India,Arts and Entertainment
Piyanka Mongia,piyanka_mongia,9.26,8.8m,309.6k,273.2k,3.56%,Delhi,Arts and Entertainment
Ajay Devgn,ajaydevgn,9.2,8.6m,69.1k,164.2k,0.81%,Mumbai,Arts and Entertainment
Mahesh Babu,urstrulymahesh,9.31,8.6m,484.8k,0.9m,5.64%,India,Arts and Entertainment
Prabhas,actorprabhas,9.33,8.6m,584.2k,1.7m,6.83%,India,Arts and Entertainment
Esha Gupta,egupta,9.27,8.6m,342.2k,1m,4.00%,Mumbai,Arts and Entertainment
Raashi Khanna,raashiikhanna,9.26,8.4m,315.4k,474.1k,3.76%,India,Arts and Entertainment
Amit Bhadana,theamitbhadana,9.26,8.4m,283.9k,548k,3.48%,India,Arts and Entertainment
Aditi Rao Hydari,aditiraohydari,9.21,8.2m,103.5k,143.5k,1.26%,India,Arts and Entertainment
Allu Sneha Reddy,allusnehareddy,9.27,8.2m,329.1k,2.1m,4.02%,Hyderabad,Arts and Entertainment
Rakhi Sawant,rakhisawant2511,8.49,8m,14.4k,297.3k,0.18%,India,Arts and Entertainment
Ram Charan,alwaysramcharan,9.44,7.8m,1m,1.5m,12.73%,India,Arts and Entertainment
Sonam Bajwa,sonambajwa,9.26,7.8m,302.6k,343.1k,3.88%,India,Arts and Entertainment
Kriti Kharbanda,kriti.kharbanda,9.24,7.8m,222.7k,443.4k,2.88%,India,Arts and Entertainment
Vijay Television,vijaytelevision,7.97,7.7m,5.2k,112.4k,0.07%,India,Arts and Entertainment
Mika Singh,mikasingh,8.51,7.7m,15.5k,228.3k,0.20%,India,Arts and Entertainment
GAUAHAR KHAN,gauaharkhan,9.21,7.7m,127.2k,0.9m,1.65%,Mumbai,Arts and Entertainment
Tara Sutaria,tarasutaria,9.29,7.7m,417.2k,548.1k,5.46%,India,Arts and Entertainment
Nia Sharma,niasharma90,9.21,7.6m,107.3k,355.3k,1.44%,India,Arts and Entertainment
Krystle D'souza,krystledsouza,6.12,7.5m,0,145.5k,0.00%,India,Arts and Entertainment
Sargun Mehta,sargunmehta,9.23,7.4m,169.4k,584.7k,2.30%,India,Arts and Entertainment
Shirley Setia,shirleysetia,9.23,7.4m,185.2k,328.7k,2.50%,India,Arts and Entertainment
Munmun Dutta,mmoonstar,9.25,7.4m,271.6k,298.7k,3.70%,Mumbai,Arts and Entertainment
Arjun Bijlani,arjunbijlani,9.2,7.4m,69.8k,187.7k,0.96%,India,Arts and Entertainment
Karishma Kapoor,therealkarismakapoor,9.22,7.3m,140.4k,535.8k,1.95%,India,Arts and Entertainment
Priya  Varrier,priya.p.varrier,9.21,7.2m,109.1k,560.1k,1.52%,Mumbai,Arts and Entertainment
Nargis Fakhri,nargisfakhri,9.03,7.2m,41.2k,226.3k,0.58%,Mumbai,Arts and Entertainment
Anita Hassanandani,anitahassanandani,9.21,7.1m,117.5k,157k,1.65%,Mumbai,Arts and Entertainment
Kanika Mann,officialkanikamann,9.22,7.1m,133.2k,270k,1.89%,India,Arts and Entertainment
Bhumi Pednekar,bhumipednekar,9.2,7.1m,54.8k,88.4k,0.78%,Mumbai,Arts and Entertainment
Karishma Tanna,karishmaktanna,9.2,7.1m,70.3k,98.1k,1.00%,India,Arts and Entertainment
Raveena Tandon,officialraveenatandon,9.06,7m,42.7k,82.1k,0.61%,Mumbai,Arts and Entertainment
Shivangi Joshi,shivangijoshi18,9.32,7m,526.4k,860.6k,7.71%,India,Arts and Entertainment
Sakshi Malik,sakshimalikk,9.23,6.9m,184.8k,277.4k,2.68%,India,Arts and Entertainment
Tovino Thomas,tovinothomas,9.24,6.8m,232.9k,559k,3.43%,India,Arts and Entertainment
Rajkummar  Rao,rajkummar_rao,9.21,6.8m,119k,161.5k,1.77%,India,Arts and Entertainment
Vidyut Jammwal,mevidyutjammwal,9.24,6.7m,215.3k,216.7k,3.21%,India,Arts and Entertainment
A.R.Rahman,arrahman,9.21,6.7m,125.2k,306.9k,1.86%,Chennai,Arts and Entertainment
Twinkle Khanna,twinklerkhanna,9.03,6.7m,41.4k,219.1k,0.62%,India,Arts and Entertainment
Sunanda Sharma,sunanda_ss,9.2,6.7m,56.2k,204.4k,0.85%,India,Arts and Entertainment
Riva Arora,rivarora_,9.22,6.6m,129.2k,175.6k,1.97%,India,Arts and Entertainment
Bharti Singh,bharti.laughterqueen,9.23,6.6m,200.8k,1m,3.05%,Mumbai,Arts and Entertainment
Krutika,themermaidscales,9.28,6.6m,397.1k,3.5m,6.04%,India,Arts and Entertainment
Adah Sharma,adah_ki_adah,9.22,6.5m,139.4k,74.7k,2.15%,India,Arts and Entertainment
Divya Khosla Kumar,divyakhoslakumar,9.23,6.5m,171.4k,183.3k,2.65%,Mumbai,Arts and Entertainment
Filmfare,filmfare,7.95,6.5m,4.9k,70.2k,0.08%,India,Arts and Entertainment
Nupur Sanon,nupursanon,9.23,6.4m,200.8k,251.8k,3.14%,India,Arts and Entertainment
Sushmita Sen,sushmitasen47,9.21,6.4m,90.5k,395.8k,1.43%,India,Arts and Entertainment
Lucky Dancer,luckydancer786,2,6.3m,164.5k,0.9m,2.83%,Mumbai,Arts and Entertainment
Sanjay Dutt,duttsanjay,9.26,6.2m,293.7k,329.6k,4.78%,India,Arts and Entertainment
MANKIRT AULAKH,mankirtaulakh,9.23,6.1m,183.2k,435.7k,3.03%,India,Arts and Entertainment
Nivetha Thomas,i_nivethathomas,9.28,6.1m,398k,716.6k,6.55%,India,Arts and Entertainment
Robin Jindal,oye_indori,9.22,6m,154.7k,1.2m,2.58%,India,Arts and Entertainment
Tejasswi Prakash,tejasswiprakash,9.32,6m,512.3k,1.4m,8.88%,India,Arts and Entertainment
Aditi Bhatia,aditi_bhatia4,9.24,5.9m,229.5k,287k,3.89%,India,Arts and Entertainment
Anirudh Ravichander,anirudhofficial,9.28,5.9m,392.4k,667.5k,6.67%,India,Arts and Entertainment
Neha Dhupia,nehadhupia,8.47,5.9m,13.6k,32.1k,0.23%,Mumbai,Arts and Entertainment
Anveshi Jain,anveshi25,9.21,5.8m,119.9k,214.6k,2.08%,India,Arts and Entertainment
Jumana Khan,jumana_khan_,9.2,5.8m,50.5k,56.5k,0.88%,Kerala,Arts and Entertainment
Asim Riaz,asimriaz77.official,9.24,5.8m,216.2k,1m,3.81%,India,Arts and Entertainment
Aashika Bhatia,_aashikabhatia_,8.94,5.8m,36.8k,1m,0.64%,India,Arts and Entertainment
Arijit Singh World,arijitsingh,9.23,5.7m,191.4k,774.6k,3.37%,India,Arts and Entertainment
Vaani Kapoor,_vaanikapoor_,9.21,5.7m,102k,94.6k,1.80%,India,Arts and Entertainment
Rashami Desai,imrashamidesai,9.21,5.6m,101.8k,271.7k,1.92%,India,Arts and Entertainment
Harsh Beniwal,harshbeniwal,9.33,5.5m,593.1k,1.1m,10.78%,India,Arts and Entertainment
Huma Qureshi,iamhumaq,9.04,5.4m,41.8k,115.2k,0.78%,India,Arts and Entertainment
Tulsi Kumar,tulsikumar15,9.21,5.4m,108.8k,245.9k,2.02%,Mumbai,Arts and Entertainment
Hansika Motwani,ihansika,9.22,5.4m,151.4k,168.5k,2.82%,India,Arts and Entertainment
Shraddha Arya,sarya12,9.25,5.4m,264.3k,1m,4.96%,India,Arts and Entertainment
SAMEER MARK 69,sameer_mark,8.66,5.4m,22.9k,277.7k,0.44%,Mumbai,Arts and Entertainment
Pranitha Subhash,pranitha.insta,9.23,5.4m,172.4k,178k,3.23%,India,Arts and Entertainment
Vijay Sethupathi,actorvijaysethupathi,9.24,5.3m,215.1k,712k,4.05%,India,Arts and Entertainment
Anupam Kher,anupampkher,8.51,5.3m,15.5k,209.1k,0.30%,India,Arts and Entertainment
RAAI LAXMI,iamraailaxmi,9.2,5.3m,66.1k,34.2k,1.26%,India,Arts and Entertainment
Surbhi Chandna,officialsurbhic,9.21,5.2m,126.5k,447.4k,2.45%,India,Arts and Entertainment
Voompla,voompla,8.3,5.2m,8.9k,31.5k,0.17%,India,Arts and Entertainment
Hiphop Tamizha,hiphoptamizha,6.38,5.2m,0,371.1k,0.01%,India,Others
Pinkvilla,pinkvilla,8.59,5.1m,19.8k,36.1k,0.39%,India,Arts and Entertainment
Elli AvrRam,elliavrram,9.21,5.1m,104.9k,123.5k,2.05%,India,Arts and Entertainment
Dhanashree Verma,dhanashree9,9.29,5.1m,408.5k,371k,7.96%,Mumbai,Arts and Entertainment
Nani,nameisnani,9.3,5.1m,479.1k,0.9m,9.35%,India,Arts and Entertainment
Mona Lisa,aslimonalisa,9.2,5.1m,51.5k,82.5k,1.01%,India,Arts and Entertainment
Millind Gaba,millindgaba,9.22,5.1m,140.3k,180.4k,2.77%,India,Arts and Entertainment
Dia Mirza,diamirzaofficial,8.79,5.1m,29.6k,38.3k,0.59%,Mumbai,Arts and Entertainment
Sunil Grover,whosunilgrover,9.21,5.1m,89.3k,655.4k,1.78%,India,Arts and Entertainment
SivaKarthikeyan,sivakarthikeyan,9.36,5m,704k,1m,14.14%,Chennai,Arts and Entertainment
Sana Khaan,sanakhaan21,9.29,5m,405.3k,879k,8.17%,India,Arts and Entertainment
Bhavin Bhanushali,bhavin_333,7.62,4.9m,0,211.4k,0.03%,India,Arts and Entertainment
Amulya,amulyarattan_,9.24,4.9m,241.2k,523.5k,4.98%,India,Arts and Entertainment
Shaheer Sheikh,shaheernsheikh,9.21,4.8m,120.8k,367.7k,2.52%,India,Arts and Entertainment
Reem,reem_sameer8,9.2,4.8m,83.3k,191.6k,1.75%,India,Arts and Entertainment
Anil Kapoor,anilskapoor,9.05,4.8m,42.5k,85.4k,0.89%,India,Arts and Entertainment
Prince Narula,princenarula,9.21,4.8m,105.2k,249.1k,2.20%,India,Arts and Entertainment
Darmesh,dharmesh0011,9.2,4.8m,76.7k,352.6k,1.61%,India,Arts and Entertainment
Nawazuddin Siddiqui,nawazuddin._siddiqui,9.24,4.8m,223.9k,482.6k,4.69%,India,Arts and Entertainment
Suriya Sivakumar,actorsuriya,9.36,4.8m,685.5k,1.7m,14.48%,Chennai,Arts and Entertainment
Rana Daggubati,ranadaggubati,9.17,4.8m,48.9k,133.9k,1.02%,India,Arts and Entertainment
Prithviraj Sukumaran,therealprithvi,9.22,4.8m,159.7k,192.9k,3.36%,India,Arts and Entertainment
Aly Goni,alygoni,9.25,4.8m,255.3k,380.2k,5.43%,India,Arts and Entertainment
Rits Badiani (Ritika),rits_badiani,9.21,4.7m,120.7k,284.4k,2.60%,India,Arts and Entertainment
Paras Chhabra,parasvchhabrra,9.25,4.7m,257.6k,850.2k,5.55%,India,Arts and Entertainment
Mohanlal,mohanlal,9.24,4.7m,219.8k,676.7k,4.68%,India,Arts and Entertainment
Ranjit Bawa,ranjitbawa,9.1,4.7m,45k,130.1k,0.96%,India,Arts and Entertainment
Tia Bajpai,tiabajpai,9.03,4.7m,41.8k,0,0.89%,India,Arts and Entertainment
Vidya Balan,balanvidya,8.88,4.7m,34k,71.8k,0.73%,India,Arts and Entertainment
Akshara Singh,singhakshara,9.2,4.7m,54.1k,211.3k,1.17%,India,Arts and Entertainment
Deepika Singh Goyal,deepikasingh150,9.2,4.6m,60.6k,0.9m,1.31%,India,Arts and Entertainment
Mrunal Thakur,mrunalthakur,9.22,4.6m,147.6k,272.9k,3.19%,India,Arts and Entertainment
Mahira Sharma,officialmahirasharma,9.26,4.6m,307.1k,1.4m,6.89%,India,Arts and Entertainment
Nushrat Bharucha,nushrrattbharuccha,9.2,4.6m,84.6k,190.2k,1.85%,India,Arts and Entertainment
Gippy Grewal,gippygrewal,9.22,4.6m,135.7k,328.9k,2.99%,India,Arts and Entertainment
Sanjeeda Shaikh,iamsanjeeda,6.4,4.5m,0,681.8k,0.01%,India,Arts and Entertainment
Rannvijay Singha,rannvijaysingha,9.09,4.5m,44.6k,43.4k,0.99%,India,Arts and Entertainment
Zakir Khan,zakirkhan_208,9.26,4.5m,289.8k,450.3k,6.46%,India,Arts and Entertainment
Jr NTR,jrntr,9.31,4.5m,480.4k,1.5m,10.75%,India,Arts and Entertainment
Amala Paul,amalapaul,9.22,4.5m,136.9k,118.6k,3.07%,India,Arts and Entertainment
Ekta Kapoor,ektarkapoor,8.71,4.4m,25.5k,168.3k,0.58%,Mumbai,Arts and Entertainment
Rashmi Gautam,rashmigautam,9.23,4.4m,179.5k,338.8k,4.08%,Hyderabad,Arts and Entertainment
Karan Kundrra,kkundrra,9.28,4.4m,346.2k,1m,8.58%,Mumbai,Arts and Entertainment
Sidharth Shukla,realsidharthshukla,9.31,4.4m,446k,682.9k,11.36%,India,Arts and Entertainment
Ameesha Patel,ameeshapatel9,8.47,4.4m,13.4k,42.8k,0.31%,India,Arts and Entertainment
Dhanush,dhanushkraja,9.47,4.3m,1.1m,1.2m,25.73%,India,Arts and Entertainment
SONAL CHAUHAN,sonalchauhan,6.68,4.3m,0,114.1k,0.01%,India,Arts and Entertainment
Dheeraj Dhoopar,dheerajdhoopar,9.22,4.3m,165.6k,346k,3.90%,India,Arts and Entertainment
Gauri Khan,gaurikhan,9.2,4.3m,70.6k,370.2k,1.67%,India,Arts and Entertainment
Diana Penty,dianapenty,9.21,4.2m,104.3k,92.6k,2.47%,Mumbai,Arts and Entertainment
Ajaz Khan,imajazkhan,8.52,4.2m,16.2k,104.5k,0.39%,India,Arts and Entertainment
SANGRAM U SINGH,sangramsingh_wrestler,9.21,4.2m,101.6k,322.9k,2.41%,India,Arts and Entertainment
Alya Manasa,alya_manasa,9,4.2m,40k,421.8k,0.95%,Chennai,Arts and Entertainment
Samiksha Bhatnagar,samikshabhatna1,9.21,4.2m,90.7k,328.3k,2.22%,India,Arts and Entertainment
Erica J Fernandes,iam_ejf,9.21,4.1m,118.8k,207.9k,2.88%,India,Arts and Entertainment
Mohsin Khan,khan_mohsinkhan,9.23,4.1m,178.5k,477.7k,4.44%,India,Arts and Entertainment
EmiwayOfficial,emiway_bantai,9.23,4.1m,172.1k,457.1k,4.30%,India,Arts and Entertainment
Pankaj Tripathi,pankajtripathi,9.26,4.1m,325.1k,325.7k,8.02%,India,Arts and Entertainment
Daisy Shah,shahdaisy,8.78,4.1m,28.9k,54.2k,0.72%,India,Arts and Entertainment
Prachi Desai,prachidesai,9.22,4m,160.1k,180.1k,4.00%,India,Arts and Entertainment
Parth Samthaan,the_parthsamthaan,9.22,4m,153.9k,337.7k,3.88%,India,Arts and Entertainment
Paayal Rajput,rajputpaayal,9.2,4m,63.4k,82.6k,1.60%,India,Arts and Entertainment
KaurB,Music,9.17,4m,48.2k,102.7k,1.23%,India,Arts and Entertainment
Shamita Shetty,shamitashetty_official,9.2,3.9m,50.1k,317.7k,1.39%,India,Arts and Entertainment
Vaibhav Kundra,vaibhavkundra,9.19,3.9m,49.4k,70.5k,1.28%,Lucknow,Arts and Entertainment
Adaa Khan,adaakhann,9.2,3.8m,76.5k,152.5k,2.04%,India,Arts and Entertainment
Vishwa Rathod,wish_rathod,9.23,3.8m,180k,542.8k,4.77%,India,Arts and Entertainment
Deepthi Sunaina,deepthi_sunaina,9.27,3.8m,335.2k,1.2m,8.89%,India,Lifestyle and Fashion
Sharry Mann,sharrymaan,9.2,3.7m,66.7k,373.6k,1.80%,Mohali,Arts and Entertainment
Rohan Mehra,rohanmehraa,6.03,3.7m,0,240.1k,0.01%,India,Arts and Entertainment
Poonam Pandey,ipoonampandey,2,3.7m,0,0,0.00%,Mumbai,Arts and Entertainment
Shweta Tiwari,shweta.tiwari,9.22,3.7m,162k,271k,4.44%,India,Arts and Entertainment
Emraan Hashmi,therealemraan,9.23,3.7m,183.6k,210.7k,5.05%,India,Arts and Entertainment
Radhika Apte,radhikaofficial,9.04,3.7m,42.3k,88k,1.16%,India,Arts and Entertainment
Farhan Akhtar,faroutakhtar,8.84,3.6m,32.2k,125.9k,0.89%,India,Arts and Entertainment
Nabha Natesh,nabhanatesh,9.23,3.6m,173.5k,226.7k,4.80%,Bengaluru,Arts and Entertainment
Nithya Menen,nithyamenen,9.21,3.6m,111.1k,170.2k,3.09%,India,Arts and Entertainment
RaftaaR,Music,9.22,3.6m,132.3k,196.7k,3.70%,India,Arts and Entertainment
Helly Shah,hellyshahofficial,9.21,3.6m,114.8k,167k,3.24%,India,Arts and Entertainment
Aamir Khan,_aamirkhan,9.25,3.6m,267.3k,0,7.50%,Mumbai,Arts and Entertainment
Radhika Madan,radhikamadan,9.24,3.6m,244.1k,360.8k,6.89%,India,Arts and Entertainment
Mithila Palkar,mipalkarofficial,9.23,3.6m,173.8k,131.8k,4.90%,India,Arts and Entertainment
??Nataša Stankovi???,natasastankovic__,9.27,3.5m,360.9k,797.9k,10.23%,Mumbai,Arts and Entertainment
Sonali Bendre Behl,iamsonalibendre,8.67,3.5m,23.6k,74.6k,0.68%,India,Arts and Entertainment
Trisha Krishnan,dudette583,9.27,3.5m,330.9k,517.8k,9.46%,Chennai,Arts and Entertainment
