Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Vineshjohny,vineshjohny,7.62,128.9k,1.2k,34.3k,0.97%,Bengaluru,Food and Drink
Basil Thamby,basilthamby,7.87,128.9k,4.1k,27.7k,3.18%,Kerala,Sports
PeeSafe,peesafe,6.47,128.8k,373,10.9k,0.29%,New Delhi,Travel
Ayyaz Ahmed,ayyaz_ahmed03,7.77,128.6k,2.9k,19.1k,2.35%,Mumbai,Business
Nmami Agarwal,nmamiagarwal,7.78,128.3k,2.9k,54.7k,2.38%,Delhi,Travel
Maharashtra Instagrammers,maharashtra_ig,7.46,127.9k,0.9k,23.9k,0.72%,Mumbai,Food and Drink
Manish Grover,food_gambler,6.65,127.7k,435,0,0.35%,Rampur,Food and Drink
BOLTT,fireboltt_,6.84,127.3k,503,2.6k,0.41%,New Delhi,Sports
Kritika Goel,kritika_goel,7.89,127.2k,4.2k,13.6k,3.37%,Mumbai,Lifestyle and Fashion
Salu Kitchen,salu_kitchen,6.98,127.2k,605,74.6k,0.48%,Kerala,Food and Drink
Deepanshu Sangwan,nomadic.indian,8.52,127.2k,16.2k,0,12.90%,India,Travel
IGyaan,igyaan,7.37,127.1k,847,4.2k,0.67%,New Delhi,Technology
The Ink Bucket,theinkbucket,7.66,127.1k,1.7k,21.2k,1.38%,Bengaluru,Business
Kollam Foodies,kollamfoodies,2,127k,0,59.1k,0.00%,Kollam,Food and Drink
Jay Nikam (Noise Jäegger),noisejaegger,8.13,127k,6.9k,194.9k,5.57%,Nashik,Photography
Aashish Chandratreya,aashishchandratreya,7.89,126.8k,4.3k,15.8k,3.37%,India,Photography
Thomas Zacharias,cheftzac,6.39,126.8k,339,11.9k,0.28%,India,Food and Drink
Fodrem.co,fodrem.co,7.02,126.6k,640,0,0.51%,Mumbai,Education
Meenal Shah,meenalshahofficial,8.02,126.3k,5.7k,32.2k,4.58%,Mumbai,Arts and Entertainment
Aamir Wani,kashmirthroughmylens,7.83,126.2k,3.6k,6k,2.93%,Srinagar,Travel
Premier Futsal,premierfutsalindia,2,125.6k,758,4.5k,0.60%,Talent,Travel
Dolly,chillystudio,7.74,125.5k,2.6k,17.8k,2.12%,Bengaluru,Travel
Yash Kamini Sudhakar Rane,chefyash,6.98,125.4k,591,6.6k,0.49%,Mumbai,Travel
Sanctuary Asia,sanctuaryasia,7.36,125.2k,851,2.6k,0.68%,Mumbai,Arts and Entertainment
Flying Machine,flyingmachine80,6.17,125.1k,265,1.5k,0.21%,Bengaluru,Technology
?? SHAY,shayentikah___,6.13,125k,235,883,0.20%,Delhi,Lifestyle and Fashion
Unforgettable Girl??!,call_me_bbes_20,7.88,124.5k,4.1k,0,3.39%,Chennai,Travel
Eskimo,ig_calcutta,7.71,124.4k,2.3k,5.7k,1.88%,Kolkata,Travel
Goela School Of Finance,goela_school_of_finance,7.69,124.3k,2.1k,10.5k,1.68%,India,Investment and Finance
Payel Banerjee,delhi_ka_tadka,2.8,123.8k,0,16.7k,0.01%,Delhi,Food and Drink
Rahul Kumar,Fitness,7.72,123.8k,2.4k,13k,1.94%,India,Health and Fitness
Fugazee,fugazeeinc,6.67,123.1k,451,2.5k,0.37%,India,Technology
Aanandi Joshi,aanandijoshi,6.63,123k,426,2.2k,0.36%,Mumbai,Business
MomFunda | Elina,momfunda,7.69,122.9k,2k,27.4k,1.65%,India,Family and Parenting
Sameer Nagori,mumbaifoodtrail,7.67,122.7k,1.9k,38.6k,1.53%,Mumbai,Food and Drink
Arvind Singh Mewar,arvindsinghmewar,7.79,122.5k,3.2k,20.4k,2.64%,Udaipur,Business
Parth  Tandon,whatdillieats,6.53,122.5k,393,13k,0.33%,New Delhi,Food and Drink
Harshul Zubaan,chatori_zubaan,6.55,122.4k,400,186.5k,0.33%,Delhi,Food and Drink
Digit,digit.in,5.77,122.2k,171,764,0.14%,Noida,Technology
