Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Taapsee Pannu,taapsee,9.21,19.7m,103.5k,150k,0.53%,Delhi,MoviesArts & Entertainment
Allu Arjun,alluarjunonline,9.59,18.5m,1.6m,3.7m,8.65%,India,Arts & EntertainmentMovies
Tamannaah Bhatia,tamannaahspeaks,9.3,17.2m,452.6k,585.2k,2.65%,India,Arts & EntertainmentMovies
Hina Khan,realhinakhan,9.26,17.1m,303.2k,897.9k,1.78%,India,Arts & EntertainmentTelevision
Ayushmann Khurrana,ayushmannk,9.22,16.2m,148.4k,224.7k,0.92%,Chandigarh,Arts & EntertainmentMovies
Shakti Mohan,mohanshakti,9.24,16.1m,241.5k,607.5k,1.51%,India,Arts & EntertainmentDance
Yami Gautam,yamigautam,9.25,15.9m,261.5k,127.8k,1.65%,India,Arts & EntertainmentMovies
Fgdfg,carryminati,9.56,15.9m,1.5m,2.5m,9.48%,Bengaluru,Arts & EntertainmentGaming
Vijay Deverakonda,thedeverakonda,9.63,15.8m,1.8m,2.8m,11.12%,India,Arts & EntertainmentMovies
Filmygyan,filmygyan,9.21,15.7m,118.4k,216.7k,0.76%,India,Arts & EntertainmentMovies
Darshan Raval,darshanravaldz,9.33,15.4m,562k,783.3k,3.70%,India,Arts & EntertainmentMovies
Ileana D'Cruz,ileana_official,7.13,14.8m,0,405.7k,0.00%,India,Arts & EntertainmentMovies
Riteish Deshmukh,riteishd,9.21,14.7m,100.3k,276.9k,0.69%,India,Arts & EntertainmentMovies
Bhuvan Bam,bhuvan.bam22,9.43,14.6m,1m,1.6m,6.65%,India,Arts & Entertainment
Neha Sharma,nehasharmaofficial,9.24,14.6m,223.1k,269.4k,1.54%,India,Arts & EntertainmentMovies
Ashish Chanchlani,ashishchanchlani,9.47,14.6m,1.1m,1.8m,7.83%,India,Arts & EntertainmentMovies
Garima Chaurasia ??,gima_ashi,9.25,14.5m,282.6k,651.2k,1.96%,India,Arts & Entertainment
Sonu Sood,sonu_sood,9.28,14.4m,367k,502k,2.57%,India,Arts & EntertainmentMovies
Vicky Kaushal,vickykaushal09,9.46,14.1m,1.1m,1.2m,7.67%,India,Arts & EntertainmentMovies
